xmin,ymin,xmax,ymax,name,file,width,height,class
254,105,278,128,with_mask,maksssksksss115.png,400,267,0
221,78,244,100,with_mask,maksssksksss115.png,400,267,0
185,85,209,104,with_mask,maksssksksss115.png,400,267,0
116,88,150,122,with_mask,maksssksksss116.png,400,225,0
160,79,193,118,with_mask,maksssksksss116.png,400,225,0
235,43,272,87,with_mask,maksssksksss116.png,400,225,0
304,68,336,102,with_mask,maksssksksss116.png,400,225,0
379,61,399,96,with_mask,maksssksksss116.png,400,225,0
138,79,176,116,with_mask,maksssksksss118.png,400,267,0
217,70,255,107,with_mask,maksssksksss118.png,400,267,0
54,92,82,120,with_mask,maksssksksss119.png,400,289,0
132,47,153,71,with_mask,maksssksksss119.png,400,289,0
242,94,268,125,with_mask,maksssksksss119.png,400,289,0
302,81,330,107,without_mask,maksssksksss119.png,400,289,2
352,45,377,67,without_mask,maksssksksss119.png,400,289,2
163,76,185,96,with_mask,maksssksksss12.png,400,272,0
11,48,41,75,without_mask,maksssksksss121.png,400,300,2
91,41,121,72,without_mask,maksssksksss121.png,400,300,2
176,56,204,83,without_mask,maksssksksss121.png,400,300,2
239,56,266,81,without_mask,maksssksksss121.png,400,300,2
301,62,329,87,without_mask,maksssksksss121.png,400,300,2
343,74,368,97,without_mask,maksssksksss121.png,400,300,2
201,38,345,213,with_mask,maksssksksss122.png,400,267,0
92,106,191,224,with_mask,maksssksksss123.png,400,301,0
227,129,321,229,with_mask,maksssksksss123.png,400,301,0
91,146,143,204,with_mask,maksssksksss124.png,400,271,0
239,126,290,182,with_mask,maksssksksss124.png,400,271,0
106,45,158,104,with_mask,maksssksksss126.png,267,400,0
98,46,130,80,with_mask,maksssksksss127.png,267,400,0
93,183,194,295,without_mask,maksssksksss128.png,301,400,2
246,40,271,69,with_mask,maksssksksss129.png,400,295,0
162,51,194,89,mask_weared_incorrect,maksssksksss13.png,400,226,1
293,60,313,81,with_mask,maksssksksss13.png,400,226,0
352,53,373,71,with_mask,maksssksksss13.png,400,226,0
7,104,46,147,mask_weared_incorrect,maksssksksss130.png,332,400,1
162,58,208,112,mask_weared_incorrect,maksssksksss130.png,332,400,1
198,95,223,136,without_mask,maksssksksss130.png,332,400,2
65,63,110,112,with_mask,maksssksksss131.png,400,267,0
127,31,166,76,with_mask,maksssksksss131.png,400,267,0
257,55,284,86,without_mask,maksssksksss131.png,400,267,2
284,66,321,107,with_mask,maksssksksss131.png,400,267,0
252,125,295,167,without_mask,maksssksksss131.png,400,267,2
236,74,256,99,without_mask,maksssksksss131.png,400,267,2
106,72,190,182,mask_weared_incorrect,maksssksksss132.png,306,400,1
92,19,117,50,with_mask,maksssksksss134.png,400,225,0
156,22,177,48,without_mask,maksssksksss134.png,400,225,2
183,74,205,100,with_mask,maksssksksss134.png,400,225,0
151,67,270,198,with_mask,maksssksksss135.png,400,225,0
100,105,152,158,with_mask,maksssksksss136.png,267,400,0
217,153,241,174,without_mask,maksssksksss137.png,400,400,2
283,158,310,181,without_mask,maksssksksss137.png,400,400,2
224,92,309,186,with_mask,maksssksksss138.png,400,267,0
23,36,45,59,with_mask,maksssksksss139.png,400,225,0
30,71,51,92,without_mask,maksssksksss139.png,400,225,2
4,177,35,209,with_mask,maksssksksss139.png,400,225,0
93,15,117,34,with_mask,maksssksksss139.png,400,225,0
99,74,122,100,with_mask,maksssksksss139.png,400,225,0
56,132,79,162,mask_weared_incorrect,maksssksksss139.png,400,225,1
36,152,65,183,with_mask,maksssksksss139.png,400,225,0
138,191,165,221,with_mask,maksssksksss139.png,400,225,0
182,13,209,36,with_mask,maksssksksss139.png,400,225,0
188,55,213,80,with_mask,maksssksksss139.png,400,225,0
196,146,219,168,with_mask,maksssksksss139.png,400,225,0
213,164,243,193,with_mask,maksssksksss139.png,400,225,0
253,13,277,35,with_mask,maksssksksss139.png,400,225,0
246,73,268,98,with_mask,maksssksksss139.png,400,225,0
286,10,314,38,with_mask,maksssksksss139.png,400,225,0
320,1,341,15,with_mask,maksssksksss139.png,400,225,0
345,34,372,57,with_mask,maksssksksss139.png,400,225,0
358,116,388,141,with_mask,maksssksksss139.png,400,225,0
37,74,188,247,with_mask,maksssksksss140.png,400,267,0
210,114,336,255,with_mask,maksssksksss140.png,400,267,0
129,96,175,155,with_mask,maksssksksss141.png,400,267,0
220,123,260,169,with_mask,maksssksksss141.png,400,267,0
144,110,244,235,with_mask,maksssksksss142.png,479,359,0
130,19,155,47,with_mask,maksssksksss144.png,400,217,0
212,56,232,79,with_mask,maksssksksss144.png,400,217,0
91,89,114,111,mask_weared_incorrect,maksssksksss145.png,400,226,1
183,102,203,122,mask_weared_incorrect,maksssksksss145.png,400,226,1
310,96,333,119,without_mask,maksssksksss145.png,400,226,2
198,15,218,36,with_mask,maksssksksss147.png,400,250,0
272,33,294,55,with_mask,maksssksksss147.png,400,250,0
1,20,81,136,with_mask,maksssksksss148.png,400,364,0
68,95,124,157,without_mask,maksssksksss148.png,400,364,2
151,89,247,205,with_mask,maksssksksss148.png,400,364,0
243,120,283,179,with_mask,maksssksksss148.png,400,364,0
38,98,71,130,with_mask,maksssksksss149.png,400,283,0
180,103,215,136,with_mask,maksssksksss149.png,400,283,0
287,53,315,85,with_mask,maksssksksss149.png,400,283,0
315,57,341,89,with_mask,maksssksksss149.png,400,283,0
330,104,359,133,with_mask,maksssksksss149.png,400,283,0
324,180,348,210,with_mask,maksssksksss149.png,400,283,0
59,144,125,213,with_mask,maksssksksss15.png,193,400,0
82,330,118,366,with_mask,maksssksksss15.png,193,400,0
101,41,124,68,with_mask,maksssksksss152.png,400,283,0
173,34,193,60,with_mask,maksssksksss152.png,400,283,0
204,75,225,99,with_mask,maksssksksss152.png,400,283,0
289,25,312,54,with_mask,maksssksksss152.png,400,283,0
89,21,112,44,with_mask,maksssksksss153.png,400,268,0
289,21,311,44,without_mask,maksssksksss153.png,400,268,2
90,200,184,333,without_mask,maksssksksss154.png,301,400,2
43,108,107,174,with_mask,maksssksksss155.png,400,225,0
77,53,163,140,with_mask,maksssksksss155.png,400,225,0
278,92,314,137,with_mask,maksssksksss155.png,400,225,0
327,33,352,59,with_mask,maksssksksss156.png,400,267,0
27,47,47,65,with_mask,maksssksksss156.png,400,267,0
181,40,203,67,mask_weared_incorrect,maksssksksss156.png,400,267,1
36,63,59,88,mask_weared_incorrect,maksssksksss156.png,400,267,1
68,68,90,91,without_mask,maksssksksss156.png,400,267,2
22,78,43,98,with_mask,maksssksksss157.png,400,225,0
84,61,111,95,without_mask,maksssksksss157.png,400,225,2
144,78,173,119,with_mask,maksssksksss157.png,400,225,0
193,71,217,97,with_mask,maksssksksss157.png,400,225,0
225,43,259,80,with_mask,maksssksksss157.png,400,225,0
320,40,352,74,with_mask,maksssksksss157.png,400,225,0
368,75,395,104,with_mask,maksssksksss157.png,400,225,0
2,56,24,78,with_mask,maksssksksss158.png,400,278,0
113,52,133,76,with_mask,maksssksksss158.png,400,278,0
217,78,238,98,with_mask,maksssksksss158.png,400,278,0
48,227,146,345,with_mask,maksssksksss16.png,301,400,0
71,82,151,153,with_mask,maksssksksss160.png,400,286,0
246,107,326,195,with_mask,maksssksksss160.png,400,286,0
123,227,190,328,without_mask,maksssksksss161.png,301,400,2
86,181,191,308,with_mask,maksssksksss162.png,301,400,0
161,124,184,152,with_mask,maksssksksss163.png,400,300,0
12,47,40,73,with_mask,maksssksksss164.png,400,200,0
44,51,66,75,with_mask,maksssksksss164.png,400,200,0
153,39,179,65,without_mask,maksssksksss164.png,400,200,2
203,35,225,59,without_mask,maksssksksss164.png,400,200,2
361,37,386,64,with_mask,maksssksksss164.png,400,200,0
15,111,114,219,with_mask,maksssksksss165.png,450,463,0
324,135,410,238,with_mask,maksssksksss165.png,450,463,0
98,1,150,58,with_mask,maksssksksss166.png,400,267,0
205,115,235,155,with_mask,maksssksksss166.png,400,267,0
255,141,278,171,with_mask,maksssksksss166.png,400,267,0
303,180,325,207,with_mask,maksssksksss166.png,400,267,0
351,204,372,226,with_mask,maksssksksss166.png,400,267,0
45,69,96,113,with_mask,maksssksksss167.png,400,210,0
185,113,222,155,with_mask,maksssksksss167.png,400,210,0
271,32,311,75,with_mask,maksssksksss167.png,400,210,0
40,74,62,90,without_mask,maksssksksss168.png,400,225,2
152,262,220,367,with_mask,maksssksksss169.png,301,400,0
73,179,169,297,with_mask,maksssksksss17.png,301,400,0
207,122,361,291,with_mask,maksssksksss171.png,400,400,0
96,233,186,341,without_mask,maksssksksss172.png,301,400,2
48,94,72,116,with_mask,maksssksksss173.png,400,294,0
331,77,356,106,mask_weared_incorrect,maksssksksss173.png,400,294,1
44,63,95,117,with_mask,maksssksksss174.png,400,272,0
102,60,142,104,with_mask,maksssksksss174.png,400,272,0
196,44,250,100,with_mask,maksssksksss174.png,400,272,0
113,61,174,122,with_mask,maksssksksss175.png,400,226,0
195,50,228,112,with_mask,maksssksksss175.png,400,226,0
132,55,157,97,with_mask,maksssksksss176.png,400,225,0
15,68,47,104,with_mask,maksssksksss176.png,400,225,0
55,47,81,80,with_mask,maksssksksss176.png,400,225,0
144,95,169,128,with_mask,maksssksksss176.png,400,225,0
166,66,189,95,with_mask,maksssksksss176.png,400,225,0
222,47,260,82,with_mask,maksssksksss176.png,400,225,0
237,86,277,135,mask_weared_incorrect,maksssksksss176.png,400,225,1
291,79,319,115,without_mask,maksssksksss176.png,400,225,2
276,76,324,118,with_mask,maksssksksss177.png,400,300,0
154,147,199,194,with_mask,maksssksksss177.png,400,300,0
91,41,126,76,with_mask,maksssksksss178.png,268,400,0
193,86,214,112,without_mask,maksssksksss178.png,268,400,2
245,90,265,112,without_mask,maksssksksss178.png,268,400,2
170,26,199,57,with_mask,maksssksksss179.png,400,267,0
89,53,116,76,without_mask,maksssksksss179.png,400,267,2
134,86,192,148,with_mask,maksssksksss18.png,400,267,0
58,182,165,316,with_mask,maksssksksss180.png,301,400,0
70,58,93,82,with_mask,maksssksksss181.png,400,225,0
100,57,124,82,with_mask,maksssksksss181.png,400,225,0
271,43,305,80,without_mask,maksssksksss181.png,400,225,2
117,48,167,98,without_mask,maksssksksss182.png,400,267,2
158,63,189,99,with_mask,maksssksksss183.png,400,225,0
198,56,241,104,with_mask,maksssksksss183.png,400,225,0
143,44,169,73,with_mask,maksssksksss184.png,400,220,0
171,37,195,65,with_mask,maksssksksss184.png,400,220,0
250,25,274,46,with_mask,maksssksksss184.png,400,220,0
256,49,283,76,with_mask,maksssksksss184.png,400,220,0
294,43,316,63,with_mask,maksssksksss184.png,400,220,0
89,139,121,187,with_mask,maksssksksss185.png,400,267,0
115,112,139,154,with_mask,maksssksksss185.png,400,267,0
165,102,195,126,with_mask,maksssksksss185.png,400,267,0
87,56,135,119,with_mask,maksssksksss186.png,267,400,0
230,97,320,182,with_mask,maksssksksss187.png,400,300,0
99,205,198,318,with_mask,maksssksksss188.png,301,400,0
201,89,235,121,without_mask,maksssksksss189.png,400,200,2
226,15,271,66,with_mask,maksssksksss189.png,400,200,0
89,38,115,62,with_mask,maksssksksss19.png,400,236,0
161,20,195,54,without_mask,maksssksksss19.png,400,236,2
104,104,182,175,with_mask,maksssksksss19.png,400,236,0
309,77,375,136,with_mask,maksssksksss19.png,400,236,0
267,14,287,32,without_mask,maksssksksss19.png,400,236,2
143,75,222,155,with_mask,maksssksksss190.png,400,282,0
221,82,297,163,with_mask,maksssksksss191.png,400,301,0
112,40,157,87,with_mask,maksssksksss192.png,267,400,0
13,175,97,254,with_mask,maksssksksss193.png,300,400,0
133,56,258,172,with_mask,maksssksksss193.png,300,400,0
121,145,305,356,with_mask,maksssksksss195.png,400,400,0
83,250,154,362,with_mask,maksssksksss196.png,301,400,0
118,19,295,184,with_mask,maksssksksss198.png,400,225,0
68,42,105,69,with_mask,maksssksksss2.png,400,290,0
238,34,262,69,with_mask,maksssksksss2.png,400,290,0
333,31,366,65,mask_weared_incorrect,maksssksksss2.png,400,290,1
93,60,153,124,with_mask,maksssksksss20.png,267,400,0
5,185,110,287,with_mask,maksssksksss200.png,301,400,0
215,94,301,195,with_mask,maksssksksss200.png,301,400,0
33,82,76,127,with_mask,maksssksksss201.png,400,226,0
59,64,88,98,with_mask,maksssksksss201.png,400,226,0
101,70,162,132,with_mask,maksssksksss201.png,400,226,0
69,29,89,49,with_mask,maksssksksss201.png,400,226,0
223,91,265,127,with_mask,maksssksksss201.png,400,226,0
240,28,268,52,with_mask,maksssksksss201.png,400,226,0
286,56,318,90,with_mask,maksssksksss201.png,400,226,0
370,36,398,65,with_mask,maksssksksss201.png,400,226,0
15,158,35,187,with_mask,maksssksksss202.png,400,300,0
46,126,70,153,with_mask,maksssksksss202.png,400,300,0
92,99,120,132,with_mask,maksssksksss202.png,400,300,0
180,127,213,165,with_mask,maksssksksss202.png,400,300,0
300,135,332,169,with_mask,maksssksksss202.png,400,300,0
348,154,371,181,with_mask,maksssksksss202.png,400,300,0
11,28,37,57,with_mask,maksssksksss203.png,400,225,0
100,42,124,67,with_mask,maksssksksss203.png,400,225,0
304,42,329,64,with_mask,maksssksksss203.png,400,225,0
137,103,175,143,with_mask,maksssksksss204.png,400,266,0
175,96,203,121,with_mask,maksssksksss204.png,400,266,0
220,91,252,123,with_mask,maksssksksss204.png,400,266,0
254,101,294,144,with_mask,maksssksksss204.png,400,266,0
278,51,313,88,with_mask,maksssksksss204.png,400,266,0
86,244,156,346,with_mask,maksssksksss205.png,301,400,0
82,75,122,119,with_mask,maksssksksss206.png,400,298,0
171,67,206,108,with_mask,maksssksksss206.png,400,298,0
270,35,318,83,with_mask,maksssksksss206.png,400,298,0
167,91,211,140,with_mask,maksssksksss207.png,400,267,0
281,95,316,125,with_mask,maksssksksss207.png,400,267,0
84,82,194,170,with_mask,maksssksksss208.png,400,200,0
192,71,298,187,with_mask,maksssksksss208.png,400,200,0
37,50,63,78,without_mask,maksssksksss209.png,400,210,2
63,79,88,101,without_mask,maksssksksss209.png,400,210,2
64,112,91,141,without_mask,maksssksksss209.png,400,210,2
120,99,150,133,without_mask,maksssksksss209.png,400,210,2
161,102,197,143,with_mask,maksssksksss209.png,400,210,0
227,124,260,157,without_mask,maksssksksss209.png,400,210,2
236,91,262,119,without_mask,maksssksksss209.png,400,210,2
338,116,370,155,with_mask,maksssksksss209.png,400,210,0
374,63,396,88,without_mask,maksssksksss209.png,400,210,2
267,22,289,44,without_mask,maksssksksss209.png,400,210,2
183,49,205,69,without_mask,maksssksksss209.png,400,210,2
40,137,109,218,with_mask,maksssksksss21.png,400,227,0
54,57,111,112,with_mask,maksssksksss21.png,400,227,0
189,78,246,140,with_mask,maksssksksss21.png,400,227,0
92,203,205,356,with_mask,maksssksksss210.png,301,400,0
144,99,276,219,with_mask,maksssksksss211.png,400,364,0
115,75,169,135,with_mask,maksssksksss212.png,267,400,0
63,183,174,313,with_mask,maksssksksss213.png,301,400,0
14,61,61,110,with_mask,maksssksksss214.png,400,257,0
151,96,176,121,with_mask,maksssksksss214.png,400,257,0
166,110,199,149,with_mask,maksssksksss214.png,400,257,0
241,109,266,135,with_mask,maksssksksss214.png,400,257,0
286,58,331,112,with_mask,maksssksksss214.png,400,257,0
245,95,315,171,with_mask,maksssksksss215.png,400,400,0
8,64,43,93,with_mask,maksssksksss216.png,400,300,0
225,44,261,93,with_mask,maksssksksss216.png,400,300,0
328,48,348,66,with_mask,maksssksksss216.png,400,300,0
138,55,169,82,without_mask,maksssksksss216.png,400,300,2
115,202,218,341,without_mask,maksssksksss217.png,301,400,2
139,223,251,371,without_mask,maksssksksss218.png,301,400,2
183,101,270,185,with_mask,maksssksksss22.png,400,268,0
113,58,162,104,with_mask,maksssksksss220.png,267,400,0
21,211,53,242,with_mask,maksssksksss221.png,400,300,0
129,187,161,219,with_mask,maksssksksss221.png,400,300,0
208,189,234,223,with_mask,maksssksksss221.png,400,300,0
24,50,44,71,with_mask,maksssksksss222.png,400,226,0
129,56,152,79,with_mask,maksssksksss222.png,400,226,0
170,104,192,128,with_mask,maksssksksss222.png,400,226,0
275,71,297,96,with_mask,maksssksksss222.png,400,226,0
366,47,386,68,with_mask,maksssksksss222.png,400,226,0
143,92,166,119,with_mask,maksssksksss223.png,400,225,0
138,51,169,67,with_mask,maksssksksss223.png,400,225,0
247,135,271,170,with_mask,maksssksksss223.png,400,225,0
214,112,298,200,with_mask,maksssksksss224.png,400,400,0
116,207,222,354,with_mask,maksssksksss225.png,301,400,0
145,56,209,121,with_mask,maksssksksss226.png,400,225,0
273,87,300,116,with_mask,maksssksksss227.png,400,267,0
344,60,366,88,with_mask,maksssksksss227.png,400,267,0
246,50,271,82,with_mask,maksssksksss227.png,400,267,0
146,104,169,126,with_mask,maksssksksss227.png,400,267,0
163,80,184,103,with_mask,maksssksksss227.png,400,267,0
98,78,119,96,with_mask,maksssksksss227.png,400,267,0
46,191,147,324,with_mask,maksssksksss228.png,301,400,0
29,90,60,133,with_mask,maksssksksss229.png,400,226,0
92,57,128,88,with_mask,maksssksksss229.png,400,226,0
175,64,196,86,with_mask,maksssksksss229.png,400,226,0
218,91,242,117,with_mask,maksssksksss229.png,400,226,0
231,138,255,167,with_mask,maksssksksss229.png,400,226,0
293,87,320,110,with_mask,maksssksksss229.png,400,226,0
370,32,398,63,with_mask,maksssksksss229.png,400,226,0
188,74,241,131,with_mask,maksssksksss23.png,400,299,0
16,191,92,265,with_mask,maksssksksss230.png,512,367,0
307,180,388,260,with_mask,maksssksksss230.png,512,367,0
9,55,29,79,with_mask,maksssksksss231.png,400,249,0
32,50,56,74,with_mask,maksssksksss231.png,400,249,0
117,63,137,88,with_mask,maksssksksss231.png,400,249,0
148,65,171,91,with_mask,maksssksksss231.png,400,249,0
168,47,191,70,with_mask,maksssksksss231.png,400,249,0
194,59,217,84,with_mask,maksssksksss231.png,400,249,0
217,50,241,76,with_mask,maksssksksss231.png,400,249,0
268,59,288,81,with_mask,maksssksksss231.png,400,249,0
323,49,349,77,with_mask,maksssksksss231.png,400,249,0
366,47,390,73,with_mask,maksssksksss231.png,400,249,0
127,39,148,61,with_mask,maksssksksss231.png,400,249,0
45,86,72,109,with_mask,maksssksksss232.png,400,300,0
109,117,180,198,with_mask,maksssksksss233.png,358,400,0
175,40,220,86,with_mask,maksssksksss234.png,400,225,0
310,80,342,116,with_mask,maksssksksss235.png,400,300,0
191,37,232,83,with_mask,maksssksksss237.png,400,267,0
91,208,189,317,without_mask,maksssksksss239.png,301,400,2
105,76,161,116,mask_weared_incorrect,maksssksksss24.png,267,400,1
172,74,246,147,with_mask,maksssksksss241.png,400,210,0
156,80,222,155,with_mask,maksssksksss242.png,400,300,0
112,93,206,219,with_mask,maksssksksss243.png,301,400,0
53,108,96,149,without_mask,maksssksksss244.png,400,262,2
171,70,225,130,with_mask,maksssksksss244.png,400,262,0
32,25,57,54,with_mask,maksssksksss245.png,400,210,0
168,124,197,154,with_mask,maksssksksss245.png,400,210,0
227,157,248,181,with_mask,maksssksksss245.png,400,210,0
238,106,266,138,with_mask,maksssksksss246.png,400,320,0
192,130,212,150,with_mask,maksssksksss246.png,400,320,0
9,49,37,72,with_mask,maksssksksss247.png,400,267,0
63,43,89,69,with_mask,maksssksksss247.png,400,267,0
112,41,140,68,with_mask,maksssksksss247.png,400,267,0
150,55,175,73,with_mask,maksssksksss247.png,400,267,0
171,52,196,79,with_mask,maksssksksss247.png,400,267,0
270,40,295,78,with_mask,maksssksksss247.png,400,267,0
324,59,353,94,with_mask,maksssksksss247.png,400,267,0
343,128,374,167,with_mask,maksssksksss247.png,400,267,0
307,155,340,185,with_mask,maksssksksss247.png,400,267,0
230,148,259,180,with_mask,maksssksksss247.png,400,267,0
196,116,223,154,with_mask,maksssksksss247.png,400,267,0
122,144,158,174,with_mask,maksssksksss247.png,400,267,0
42,118,71,152,with_mask,maksssksksss247.png,400,267,0
168,65,234,139,with_mask,maksssksksss249.png,400,267,0
309,119,368,191,without_mask,maksssksksss249.png,400,267,2
223,89,266,146,without_mask,maksssksksss249.png,400,267,2
122,68,195,152,with_mask,maksssksksss25.png,300,400,0
180,64,222,107,with_mask,maksssksksss250.png,400,267,0
85,65,118,103,without_mask,maksssksksss250.png,400,267,2
26,42,59,85,mask_weared_incorrect,maksssksksss250.png,400,267,1
28,103,60,140,with_mask,maksssksksss251.png,400,206,0
15,41,41,71,with_mask,maksssksksss251.png,400,206,0
44,10,67,41,with_mask,maksssksksss251.png,400,206,0
78,89,104,124,with_mask,maksssksksss251.png,400,206,0
56,71,78,99,with_mask,maksssksksss251.png,400,206,0
122,103,146,144,with_mask,maksssksksss251.png,400,206,0
155,57,183,93,with_mask,maksssksksss251.png,400,206,0
125,36,150,66,with_mask,maksssksksss251.png,400,206,0
207,64,231,94,with_mask,maksssksksss251.png,400,206,0
240,103,265,140,with_mask,maksssksksss251.png,400,206,0
230,51,256,85,with_mask,maksssksksss251.png,400,206,0
255,13,277,41,with_mask,maksssksksss251.png,400,206,0
296,72,319,102,with_mask,maksssksksss251.png,400,206,0
306,120,342,162,with_mask,maksssksksss251.png,400,206,0
333,119,356,151,with_mask,maksssksksss251.png,400,206,0
373,76,401,114,with_mask,maksssksksss251.png,400,206,0
359,27,384,58,with_mask,maksssksksss251.png,400,206,0
368,3,389,22,with_mask,maksssksksss251.png,400,206,0
327,61,354,90,with_mask,maksssksksss251.png,400,206,0
109,65,213,161,with_mask,maksssksksss252.png,400,268,0
118,41,161,91,with_mask,maksssksksss253.png,400,300,0
174,125,203,156,with_mask,maksssksksss253.png,400,300,0
209,124,237,151,with_mask,maksssksksss253.png,400,300,0
194,181,233,216,with_mask,maksssksksss253.png,400,300,0
287,144,327,179,mask_weared_incorrect,maksssksksss253.png,400,300,1
62,91,111,140,with_mask,maksssksksss254.png,400,217,0
167,55,238,133,with_mask,maksssksksss254.png,400,217,0
318,50,376,113,with_mask,maksssksksss254.png,400,217,0
73,89,94,111,with_mask,maksssksksss255.png,400,225,0
149,91,172,113,with_mask,maksssksksss255.png,400,225,0
169,127,195,157,with_mask,maksssksksss255.png,400,225,0
308,112,372,181,with_mask,maksssksksss255.png,400,225,0
365,153,389,182,with_mask,maksssksksss255.png,400,225,0
89,50,109,70,with_mask,maksssksksss256.png,400,268,0
162,21,185,47,with_mask,maksssksksss256.png,400,268,0
215,39,235,59,with_mask,maksssksksss256.png,400,268,0
265,32,285,52,with_mask,maksssksksss256.png,400,268,0
380,32,400,54,with_mask,maksssksksss256.png,400,268,0
4,106,42,163,with_mask,maksssksksss257.png,400,267,0
41,114,88,163,with_mask,maksssksksss257.png,400,267,0
101,95,143,146,with_mask,maksssksksss257.png,400,267,0
193,44,232,95,with_mask,maksssksksss257.png,400,267,0
362,89,399,142,with_mask,maksssksksss257.png,400,267,0
133,43,194,108,mask_weared_incorrect,maksssksksss258.png,280,400,1
68,213,144,306,with_mask,maksssksksss259.png,301,400,0
73,87,174,206,with_mask,maksssksksss26.png,400,400,0
245,152,327,239,with_mask,maksssksksss26.png,400,400,0
24,236,49,262,with_mask,maksssksksss260.png,400,300,0
77,236,100,262,with_mask,maksssksksss260.png,400,300,0
122,245,144,270,with_mask,maksssksksss260.png,400,300,0
189,258,216,284,with_mask,maksssksksss260.png,400,300,0
306,220,331,242,with_mask,maksssksksss260.png,400,300,0
371,244,393,259,with_mask,maksssksksss260.png,400,300,0
255,187,278,210,with_mask,maksssksksss260.png,400,300,0
207,194,229,215,with_mask,maksssksksss260.png,400,300,0
153,184,175,205,with_mask,maksssksksss260.png,400,300,0
65,161,87,185,with_mask,maksssksksss260.png,400,300,0
39,161,59,183,with_mask,maksssksksss260.png,400,300,0
